Data,Status da inscrição,Visualizações
2025-04-13,Inscrito,20
2025-04-14,Inscrito,4
2025-04-15,Inscrito,15
2025-04-16,Inscrito,20
2025-04-17,Inscrito,24
2025-04-18,Inscrito,36
2025-04-19,Inscrito,10
2025-04-20,Inscrito,3
2025-04-21,Inscrito,6
2025-04-22,Inscrito,5
2025-04-23,Inscrito,6
2025-04-24,Inscrito,6
2025-04-25,Inscrito,6
2025-04-26,Inscrito,6
2025-04-27,Inscrito,26
2025-04-28,Inscrito,5
2025-04-29,Inscrito,10
2025-04-30,Inscrito,11
2025-05-01,Inscrito,30
2025-05-02,Inscrito,5
2025-05-03,Inscrito,1
2025-05-04,Inscrito,11
2025-05-05,Inscrito,8
2025-05-06,Inscrito,3
2025-05-07,Inscrito,5
2025-05-08,Inscrito,2
2025-05-09,Inscrito,3
2025-05-10,Inscrito,5
2025-05-11,Inscrito,16
2025-05-12,Inscrito,8
2025-05-13,Inscrito,1
2025-05-14,Inscrito,1
2025-05-15,Inscrito,12
2025-05-16,Inscrito,8
2025-05-17,Inscrito,5
2025-05-18,Inscrito,2
2025-05-19,Inscrito,126
2025-05-20,Inscrito,5
2025-05-21,Inscrito,9
2025-05-22,Inscrito,15
2025-05-23,Inscrito,7
2025-05-24,Inscrito,19
2025-05-25,Inscrito,0
2025-05-26,Inscrito,5
2025-05-27,Inscrito,16
2025-05-28,Inscrito,41
2025-05-29,Inscrito,14
2025-05-30,Inscrito,7
2025-05-31,Inscrito,8
2025-06-01,Inscrito,1
2025-06-02,Inscrito,3
2025-06-03,Inscrito,3
2025-06-04,Inscrito,2
2025-06-05,Inscrito,6
2025-06-06,Inscrito,7
2025-06-07,Inscrito,7
2025-06-08,Inscrito,2
2025-06-09,Inscrito,6
2025-06-10,Inscrito,0
2025-06-11,Inscrito,8
2025-06-12,Inscrito,8
2025-06-13,Inscrito,16
2025-06-14,Inscrito,15
2025-06-15,Inscrito,17
2025-06-16,Inscrito,1
2025-06-17,Inscrito,5
2025-06-18,Inscrito,4
2025-06-19,Inscrito,14
2025-06-20,Inscrito,14
2025-06-21,Inscrito,3
2025-06-22,Inscrito,4
2025-06-23,Inscrito,25
2025-06-24,Inscrito,10
2025-06-25,Inscrito,4
2025-06-26,Inscrito,4
2025-06-27,Inscrito,17
2025-06-28,Inscrito,11
2025-06-29,Inscrito,2
2025-06-30,Inscrito,2
2025-07-01,Inscrito,5
2025-07-02,Inscrito,3
2025-07-03,Inscrito,8
2025-07-04,Inscrito,2
2025-07-05,Inscrito,0
2025-07-06,Inscrito,0
2025-07-07,Inscrito,0
2025-07-08,Inscrito,0
2025-07-09,Inscrito,0
2025-07-10,Inscrito,0
2025-07-11,Inscrito,10
2025-07-12,Inscrito,6
2025-07-13,Inscrito,7
2025-07-14,Inscrito,4
2025-07-15,Inscrito,21
2025-07-16,Inscrito,1
2025-07-17,Inscrito,49
2025-07-18,Inscrito,18
2025-07-19,Inscrito,2
2025-07-20,Inscrito,0
2025-07-21,Inscrito,6
2025-07-22,Inscrito,0
2025-07-23,Inscrito,3
2025-07-24,Inscrito,2
2025-07-25,Inscrito,2
2025-07-26,Inscrito,2
2025-07-27,Inscrito,1
2025-07-28,Inscrito,2
2025-07-29,Inscrito,29
2025-07-30,Inscrito,1
2025-07-31,Inscrito,2
2025-08-01,Inscrito,5
2025-08-02,Inscrito,0
2025-08-03,Inscrito,1
2025-08-04,Inscrito,1
2025-08-05,Inscrito,0
2025-08-06,Inscrito,3
2025-08-07,Inscrito,1
2025-08-08,Inscrito,3
2025-08-09,Inscrito,3
2025-08-10,Inscrito,3
2025-08-11,Inscrito,3
